"IDENT"	"SEXO"	"ANIO_NAC"	"NACIO"	"NACIO1"	"NACIO2"	"PAIS_NACI"	"T_CENTRO"	"CCAA"	"DISCA"	"PROXY"	"LUG_RES_PAIS"	"CA_RES"	"PAIS_NAC_PADRE"	"ESTUDIOS_PADRE"	"PAIS_NAC_MADRE"	"ESTUDIOS_MADRE"	"ESTA_B2"	"ESTA_B4"	"ESTA_B5"	"ESTA_B6"	"ESTA_B7"	"EST_B8"	"EST_B9"	"EST_B10"	"EST_B11"	"EST_B12A"	"EST_B12B_1"	"EST_B15"	"EST_B16"	"ESTA_B17"	"ESTA_B18"	"ESTA_B19"	"ESTA_B20"	"EST_B21"	"EST_B23A"	"EST_B23B_1"	"EST_B23B_2"	"EST_B25"	"EST_B27"	"EST_B28"	"ESTA_B29"	"ESTA_B30"	"ESTA_B31"	"ESTA_B32"	"EST_B33"	"EST_B35A"	"EST_B35B_1"	"EST_B35B_2"	"EST_B35C"	"EST_B37"	"EST_B39"	"EST_B40"	"ESTA_B41"	"ESTA_B42"	"ESTA_B43"	"ESTA_B44"	"EST_B45"	"EST_B47A"	"EST_B47B_1"	"EST_B47B_2"	"EST_B47C"	"EST_B49"	"EST_B51"	"EST_B52"	"ESTA_B53"	"ESTA_B54"	"ESTA_B55"	"ESTA_B55B"	"EST_B56"	"EST_B58A"	"EST_B58B_1"	"EST_B58B_2"	"EST_B58C"	"EST_B60"	"EST_B62"	"EST_B63"	"ESTA_B64"	"ESTA_B65"	"ESTA_B66"	"EST_B67"	"EST_B69A"	"EST_B69B_1"	"EST_B69B_2"	"EST_B69C"	"EST_B71"	"EST_B73"	"ESTA_B74"	"C1_1"	"C1_2"	"C1_3"	"C1_4"	"C1_5"	"C1_6"	"C1_7"	"C2_1"	"C2_2"	"C2_4"	"C2_6"	"IDI_MT1"	"IDI_MT2"	"IDIOMAS"	"IDIOMA1"	"NIV_ID1"	"ACREIDI1"	"IDIOMA2"	"NIV_ID2"	"ACREIDI2"	"IDIOMA3"	"NIV_ID3"	"ACREIDI3"	"IDIOMA4"	"NIV_ID4"	"ACREIDI4"	"TITIDI"	"TIC"	"C8_1"	"C8_2"	"C8_3"	"C8_4"	"C8_5"	"C8_6"	"C8_7"	"C9_1"	"C9_2"	"C9_3"	"C9_4"	"C9_5"	"C9_6"	"C9_7"	"MOV_IN"	"MOV_IN_CA"	"MOVRAZ1"	"MOVRAZ2"	"MOVRAZ3"	"MOVRAZ4"	"MOVRAZ5"	"MVFUERA"	"MOVPAI1"	"MOVPAI2"	"MOVPAI3"	"MOVRA21"	"MOVRA22"	"MOVRA23"	"MOVRA24"	"MOVRA25"	"MOVRA26"	"MOV_D7"	"MOV_D8_1"	"MOV_D8_2"	"MOV_D8_3"	"MOV_D8_4"	"MOV_D8_5"	"MOV_D8_6"	"MOV_D9"	"RETORNO"	"TRBPRN1"	"TRBPRN2"	"TRINAC_E4"	"TRINAC_E5"	"TRINAC_E6"	"TRPARA_E5"	"TRPARA_E6"	"TRPARA_E7_1"	"TRPARA_E7_2"	"TRPARA_E7_3"	"TRPARA_E7_4"	"TRPARA_E7_5"	"TRPARA_E7_6"	"TRPARA_E7_7"	"TRPARA_E7_8"	"TRPARA_E7_9"	"TRPARA_E8_1"	"TRPARA_E8_2"	"TRPARA_E8_3"	"TRPARA_E8_4"	"TRPARA_E8_5"	"TRPARA_E8_6"	"TRPARA_E8_7"	"TRPARA_E8_8"	"TRAC_E9"	"LUG_TRAB_PAIS"	"CATRAB"	"SIT_PRO"	"JORNADA"	"TRABOC"	"TR_CNAE"	"TR_TAM"	"TR_ANIO"	"TR_SUELDO"	"TR_E19"	"TR_E20"	"TR_E21_1"	"TR_E21_2"	"TR_E21_3"	"TR_E21_4"	"TR_E21_5"	"TR_E21_6"	"TR_E22"	"HL_F6"	"HL_F8"	"HL_JOR"	"HL_F10"	"HL_F11"	"HA_TRAB"	"HATR_F14"	"HATR_F15"	"HATR_BSQ1"	"HATR_BSQ2"	"HATR_BSQ3"	"HATR_BSQ4"	"HATR_BSQ5"	"HATR_BSQ6"	"HATR_BSQ7"	"HATR_BSQ8"	"HATR_BSQ9"	"HATR_BSQ10"	"P_CONTI"	"PR_PAIS"	"PR_CA"	"PR_OCU"	"PR_SIT_PR"	"PR_JOR"	"PR_NIVEL"	"PR_FORM"	"PR_SUELDO"	"HATR_TIEMP"	"HATR_NUM"	"HATR_F31"	"HATR_F32"	"NOTRAB_BUS"	"NOTRAB_BUSM"	"NOTRAB_BUST"	"NOTRAB_BSQ1"	"NOTRAB_BSQ2"	"NOTRAB_BSQ3"	"NOTRAB_BSQ4"	"NOTRAB_BSQ5"	"NOTRAB_BSQ6"	"NOTRAB_BSQ7"	"NOTRAB_BSQ8"	"NOTRAB_BSQ9"	"NOTRAB_DIF1"	"NOTRAB_DIF2"	"NOTRAB_DIF3"	"NOTRAB_DIF4"	"NOTRAB_DIF5"	"NOTRAB_DIF6"	"NOTRAB_DIF7"	"NOTRAB_DIF8"	"RECHA_TR"	"RECHA_M1"	"RECHA_M2"	"RECHA_M3"	"RECHA_M4"	"RECHA_M5"	"RECHA_M6"	"RECHA_M7"	"RECHA_M8"	"RECHA_M9"	"HO_G1"	"HO_PAREJ"	"HO_NPER"	"HO_NPER_TR"	"HO_TIPO"	"ALSSM15"	"COTIZ15"	"DIAS15"	"BCOTC15"	"ALSSM16"	"COTIZ16"	"DIAS16"	"BCOTC16"	"ALSSM17"	"COTIZ17"	"DIAS17"	"BCOTC17"	"ALSSM18"	"COTIZ18"	"DIAS18"	"BCOTC18"	"ALSSM19"	"COTIZ19"	"DIAS19"	"BCOTC19"	"N_CURS"	"DENCUR1"	"DURCUR1"	"RESCUR1"	"ANHCUR1"	"DENCUR2"	"DURCUR2"	"RESCUR2"	"ANHCUR2"	"DENCUR3"	"DURCUR3"	"RESCUR3"	"ANHCUR3"	"DENCUR4"	"DURCUR4"	"RESCUR4"	"ANHCUR4"	"DENCUR5"	"DURCUR5"	"RESCUR5"	"ANHCUR5"	"DENCUR6"	"DURCUR6"	"RESCUR6"	"ANHCUR6"	"FACTOR"
1243	"1"	1997	"1"	" "	" "	"1"	"1"	"04"	"2"	"1"	"01"	"04"	"1"	"4"	"1"	"9"	"3"	"05"	"1"	"4"	"2"	" "	" "	" "	"03"	" "	"  "	"1"	"2"	"  "	" "	" "	" "	"11"	" "	"  "	"  "	" "	" "	" "	"07"	"2"	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	" "	"  "	" "	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	" "	"  "	" "	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	" "	"  "	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	"  "	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	"01"	"02"	"1"	"06"	"2"	"2"	"  "	" "	" "	"  "	" "	" "	"  "	" "	" "	" "	"4"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	" "	" "	" "	"2"	"  "	" "	" "	" "	" "	" "	"2"	"  "	"  "	"  "	" "	" "	" "	" "	" "	" "	"9"	" "	" "	" "	" "	" "	" "	"  "	" "	"3"	"1"	"1"	"2"	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"  "	"  "	" "	" "	"  "	"  "	" "	"    "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"01"	"04"	"51"	"3"	"2"	"7"	"3"	"2"	"5"	"03"	"1"	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"2"	"3"	"2"	"6"	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"0"	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	31.029885
1244	"1"	1997	"1"	" "	" "	"1"	"1"	"04"	"2"	"1"	"01"	"04"	"1"	"8"	"1"	"8"	"3"	"08"	"1"	"1"	"2"	" "	" "	" "	"03"	" "	"  "	"2"	"2"	"  "	" "	" "	" "	"03"	" "	"  "	"  "	" "	"2"	"2"	"  "	" "	" "	" "	"01"	" "	"  "	"  "	"    "	"3"	"1"	"2"	"  "	" "	" "	" "	"01"	" "	"  "	"  "	"    "	" "	"1"	"1"	"  "	" "	" "	" "	"11"	" "	"  "	"  "	"    "	" "	" "	" "	"07"	"2"	" "	"  "	" "	"  "	"  "	"    "	" "	" "	"  "	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	"01"	"02"	"1"	"06"	"1"	"2"	"  "	" "	" "	"  "	" "	" "	"  "	" "	" "	" "	"4"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	" "	" "	" "	"2"	"  "	" "	" "	" "	" "	" "	"2"	"  "	"  "	"  "	" "	" "	" "	" "	" "	" "	"4"	" "	" "	" "	" "	" "	" "	"  "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	"01"	"04"	"3"	"2"	"84"	"HH"	"4"	"2019"	"3"	"7"	"1"	"4"	"4"	"2"	"1"	"4"	"4"	"3"	"2"	" "	" "	" "	" "	"1"	"6"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"01"	"04"	"84"	"3"	"2"	"7"	"1"	"1"	"1"	"01"	"2"	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"2"	"5"	"1"	"3"	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"0"	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	31.029885
1245	"1"	1997	"1"	" "	" "	"1"	"1"	"18"	"2"	"1"	"01"	"18"	"1"	"4"	"2"	"2"	"3"	"05"	"1"	"4"	"3"	" "	" "	" "	"  "	" "	"  "	" "	" "	"  "	" "	" "	" "	"01"	" "	"  "	"  "	" "	"1"	"1"	"  "	" "	" "	" "	"06"	" "	"10"	"  "	"    "	" "	"1"	"2"	"  "	" "	" "	" "	"06"	" "	"10"	"  "	"    "	" "	"1"	"1"	"  "	" "	" "	" "	"11"	" "	"  "	"  "	"    "	" "	" "	" "	"03"	"2"	" "	"  "	" "	"  "	"  "	"    "	" "	" "	"  "	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	"01"	"07"	"2"	"06"	"2"	"2"	"12"	"2"	"2"	"  "	" "	" "	"  "	" "	" "	" "	"3"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	" "	" "	" "	"1"	" "	" "	" "	"2"	"  "	" "	" "	" "	" "	" "	"2"	"  "	"  "	"  "	" "	" "	" "	" "	" "	" "	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"03"	" "	"2"	" "	" "	" "	" "	"2"	"4"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"3"	"4"	"4"	"2"	"4"	"3"	"3"	" "	"  "	"  "	" "	" "	"  "	"  "	" "	"    "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	"1"	"4"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"01"	"18"	"84"	"3"	"2"	"7"	"1"	"2"	"5"	"02"	"1"	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"2"	"3"	"1"	"3"	"2"	" "	NA	" "	"2"	" "	NA	" "	"1"	"2"	12	"1"	"1"	"2"	8	"3"	"2"	" "	NA	" "	"0"	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	4.709091
1246	"1"	1997	"1"	" "	" "	"1"	"1"	"11"	"2"	"1"	"01"	"07"	"1"	"4"	"1"	"4"	"4"	"09"	"2"	" "	" "	" "	" "	" "	"  "	" "	"  "	" "	" "	"  "	" "	" "	" "	"  "	" "	"  "	"  "	" "	" "	" "	"  "	" "	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	" "	"  "	" "	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	" "	"  "	" "	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	" "	"  "	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	"  "	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	"01"	"  "	"1"	"06"	"3"	"2"	"  "	" "	" "	"  "	" "	" "	"  "	" "	" "	" "	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	" "	" "	" "	"2"	"  "	" "	" "	" "	" "	" "	"2"	"  "	"  "	"  "	" "	" "	" "	" "	" "	" "	"4"	" "	" "	" "	" "	" "	" "	"  "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	"01"	"07"	"2"	"2"	"61"	"AA"	"1"	"2018"	"2"	"7"	"1"	"1"	"5"	"1"	"2"	"5"	"1"	"3"	"2"	" "	" "	" "	" "	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"01"	"11"	"74"	"1"	"1"	"5"	"3"	"2"	"5"	"04"	"2"	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"2"	"3"	"1"	"6"	"2"	" "	NA	" "	"1"	"2"	31	"2"	"1"	"2"	31	"4"	"2"	" "	NA	" "	"1"	"2"	31	"4"	"0"	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	26.125138
1247	"2"	1997	"1"	" "	" "	"1"	"1"	"19"	"2"	"1"	"01"	"19"	"9"	"5"	"1"	"4"	"4"	"99"	"1"	"4"	"2"	" "	" "	" "	"01"	" "	"  "	"1"	"1"	"  "	" "	" "	" "	"11"	" "	"  "	"  "	" "	" "	" "	"05"	"1"	"1"	"3"	"  "	" "	"  "	"  "	"    "	" "	" "	" "	"  "	" "	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	" "	"  "	" "	" "	" "	"05"	"3"	"  "	"  "	"    "	" "	"1"	"2"	"  "	" "	" "	"05"	"3"	"  "	"  "	"    "	" "	"1"	"  "	"2"	"2"	"2"	"2"	"1"	"2"	"2"	" "	" "	" "	" "	"01"	"  "	"2"	"06"	"2"	"2"	"02"	"2"	"2"	"  "	" "	" "	"  "	" "	" "	" "	"3"	"2"	"2"	"2"	"1"	"2"	"2"	"1"	" "	" "	" "	"2"	" "	" "	"2"	"2"	"  "	" "	" "	" "	" "	" "	"2"	"  "	"  "	"  "	" "	" "	" "	" "	" "	" "	"2"	"1"	"1"	"1"	"2"	"2"	"2"	"99"	" "	"2"	" "	" "	" "	" "	"2"	"6"	"1"	"1"	"1"	"1"	"2"	"1"	"2"	"2"	"2"	"4"	"4"	"4"	"3"	"4"	"4"	"2"	"1"	" "	"  "	"  "	" "	" "	"  "	"  "	" "	"    "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	"1"	"6"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"9"	"2"	"01"	"19"	"72"	"1"	"1"	"9"	"9"	"9"	"1"	"01"	"9"	"9"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"2"	"5"	"1"	"5"	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"0"	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	4.846154
1248	"1"	1997	"1"	" "	" "	"1"	"1"	"05"	"2"	"1"	"01"	"05"	"1"	"9"	"1"	"4"	"3"	"05"	"1"	"4"	"4"	" "	" "	" "	"  "	" "	"  "	" "	" "	"  "	" "	" "	" "	"  "	" "	"  "	"  "	" "	" "	" "	"  "	" "	" "	" "	"01"	" "	"  "	"  "	"    "	" "	"1"	"1"	"  "	" "	" "	" "	"11"	" "	"  "	"  "	"    "	" "	" "	" "	"02"	"1"	"1"	"2"	"  "	" "	"  "	"  "	"    "	" "	" "	" "	"  "	" "	" "	"05"	"1"	"  "	"  "	"    "	" "	"1"	"  "	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	"01"	"  "	"1"	"06"	"3"	"2"	"  "	" "	" "	"  "	" "	" "	"  "	" "	" "	" "	"3"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	" "	" "	" "	"2"	"  "	" "	" "	" "	" "	" "	"2"	"  "	"  "	"  "	" "	" "	" "	" "	" "	" "	"4"	" "	" "	" "	" "	" "	" "	"  "	" "	"3"	"1"	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"  "	"  "	" "	" "	"  "	"  "	" "	"    "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"  "	"  "	"  "	" "	" "	" "	" "	" "	" "	"  "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"2"	"4"	"1"	"5"	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"0"	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	48.078512
1249	"2"	1997	"1"	" "	" "	"1"	"1"	"07"	"2"	"2"	"01"	"07"	"1"	"8"	"9"	"7"	"3"	"02"	"1"	"2"	"2"	" "	" "	" "	"03"	" "	"  "	"2"	"2"	"  "	" "	" "	" "	"03"	" "	"  "	"  "	" "	"2"	"2"	"  "	" "	" "	" "	"03"	" "	"  "	"  "	"    "	" "	"2"	"2"	"  "	" "	" "	" "	"11"	" "	"  "	"  "	"    "	" "	" "	" "	"02"	"2"	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	" "	"  "	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	"  "	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	"01"	"  "	"1"	"06"	"9"	"2"	"  "	" "	" "	"  "	" "	" "	"  "	" "	" "	" "	"3"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	" "	" "	" "	"1"	" "	" "	" "	"2"	"  "	" "	" "	" "	" "	" "	"2"	"  "	"  "	"  "	" "	" "	" "	" "	" "	" "	"3"	" "	" "	" "	" "	" "	" "	"  "	" "	"2"	" "	" "	" "	" "	"2"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"3"	"2"	"1"	"2"	"1"	" "	"  "	"  "	" "	" "	"  "	"  "	" "	"    "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	"1"	"3"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"01"	"07"	"51"	"3"	"1"	"7"	"1"	"1"	"2"	"05"	"3"	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"2"	"2"	"1"	"3"	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"0"	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	38.875
1250	"1"	1997	"1"	" "	" "	"1"	"1"	"05"	"2"	"1"	"01"	"05"	"1"	"5"	"1"	"5"	"3"	"03"	"1"	"1"	"3"	" "	" "	" "	"  "	" "	"  "	" "	" "	"  "	" "	" "	" "	"03"	" "	"  "	"  "	" "	"1"	"2"	"  "	" "	" "	" "	"03"	" "	"  "	"  "	"    "	" "	"1"	"2"	"  "	" "	" "	" "	"11"	" "	"  "	"  "	"    "	" "	" "	" "	"09"	"2"	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	" "	"  "	" "	" "	"  "	" "	"  "	"  "	"    "	" "	" "	"  "	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	"01"	"  "	"2"	"06"	"9"	"2"	"07"	"3"	"2"	"  "	" "	" "	"  "	" "	" "	" "	"3"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	" "	" "	" "	"1"	"13"	"1"	"1"	"2"	"1"	"2"	"2"	"  "	"  "	"  "	" "	" "	" "	" "	" "	" "	"4"	" "	" "	" "	" "	" "	" "	"  "	" "	"2"	" "	" "	" "	" "	"2"	"1"	"1"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"3"	"2"	"2"	"1"	"2"	"3"	"2"	"1"	" "	"  "	"  "	" "	" "	"  "	"  "	" "	"    "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	"1"	"6"	"2"	"1"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"01"	"13"	"37"	"3"	"2"	"7"	"1"	"3"	"1"	"01"	"3"	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"2"	"3"	"0"	"6"	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"1"	"2"	31	"1"	"2"	" "	NA	" "	"0"	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	48.078512
1251	"2"	1997	"1"	" "	" "	"3"	"1"	"18"	"2"	"1"	"01"	"10"	"1"	"5"	"3"	"5"	"3"	"02"	"1"	"1"	"2"	" "	" "	" "	"03"	" "	"  "	"1"	"2"	"  "	" "	" "	" "	"03"	" "	"  "	"  "	" "	"1"	"1"	"  "	" "	" "	" "	"06"	" "	"24"	"  "	"    "	" "	"1"	"2"	"  "	" "	" "	" "	"06"	" "	"24"	"  "	"    "	" "	"1"	"1"	"  "	" "	" "	" "	"11"	" "	"  "	"  "	"    "	" "	" "	" "	"05"	"2"	" "	"  "	" "	"  "	"  "	"    "	" "	" "	"  "	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	"01"	"  "	"1"	"06"	"3"	"2"	"  "	" "	" "	"  "	" "	" "	"  "	" "	" "	" "	"3"	"2"	"2"	"2"	"2"	"2"	"1"	"1"	" "	" "	" "	" "	" "	"2"	"2"	"1"	"10"	"2"	"2"	"2"	"1"	"2"	"2"	"  "	"  "	"  "	" "	" "	" "	" "	" "	" "	"3"	" "	" "	" "	" "	" "	" "	"  "	" "	"3"	"1"	"1"	"2"	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"  "	"  "	" "	" "	"  "	"  "	" "	"    "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"2"	"1"	" "	" "	"1"	"6"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"01"	"10"	"51"	"2"	"2"	"6"	"1"	"1"	"2"	"03"	"3"	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"2"	"3"	"2"	"8"	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"0"	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	4.709091
1252	"2"	1997	"1"	" "	" "	"1"	"1"	"01"	"2"	"1"	"01"	"01"	"1"	"4"	"1"	"4"	"4"	"07"	"1"	"1"	"2"	" "	" "	" "	"01"	" "	"  "	"1"	"1"	"  "	" "	" "	" "	"05"	"3"	"  "	"  "	" "	"1"	"2"	"  "	" "	" "	" "	"05"	"3"	"  "	"  "	"    "	" "	"1"	"1"	"  "	" "	" "	" "	"08"	" "	"  "	"23"	"    "	" "	"1"	"2"	"  "	" "	" "	" "	"08"	" "	"  "	"23"	"    "	" "	"1"	"2"	"  "	" "	" "	"08"	" "	"  "	"23"	"    "	" "	"1"	"  "	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	"01"	"  "	"2"	"06"	"3"	"2"	"07"	"3"	"2"	"  "	" "	" "	"  "	" "	" "	" "	"3"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	" "	" "	" "	" "	" "	" "	"2"	"  "	" "	" "	" "	" "	" "	"2"	"  "	"  "	"  "	" "	" "	" "	" "	" "	" "	"4"	" "	" "	" "	" "	" "	" "	"  "	" "	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	"01"	"01"	"6"	"1"	"51"	"II"	"1"	"2019"	"1"	"7"	"1"	" "	" "	" "	" "	" "	" "	"3"	"2"	" "	" "	" "	" "	"1"	"6"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"1"	"01"	"01"	"51"	"6"	"1"	"7"	"1"	"1"	"2"	"01"	"3"	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"2"	" "	" "	" "	" "	" "	" "	" "	" "	" "	"1"	"1"	"3"	"3"	"6"	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"2"	" "	NA	" "	"0"	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	"  "	" "	" "	"    "	82.244755
